"AISHE Code","university Name","State","District","Address","Website","Area","Year of Establishment","Location","Type","Speciality","Girl Exclusive","Number of Faculties","Number of Affiliated Colleges","Number of Constituent Colleges","Number of University Centers","Number of pg and off Campus Centers","Number of Regional Centers","Number of Departments","Number of Study Centers","Total Male  Teachers"," Total Female Teachers","Total Teachers","No of Boys in Regular Course","No of Girls in Regular Course","No of Boys in Distance Course","No of Girls in Distance Course","No of Foreign Boys","No of Foreign Girls","No of Teaching Staff Quater","No of Non Teaching Staff Quater","Total Staff Quater","No of Boys Hostel","Boys Hostel Intake Capacity","No of Boys Students Residing in Hostel","No of Girls Hostel","Girls Hostel Intake Capacity","No of Girls Students Residing in Hostel","No of Other Hostel","Other Hostel Intake Capacity","No of Other Students Residing in Hostel"
"U-0479","St. Peter's Institute of Higher ","Tamil Nadu","Thiruvallur","Tonakela Camp Road, Avadi, ","www.spiher.ac.in","32.26","1993.0","Urban","Deemed University-Private ","Technical","No","1.0","0.0","0.0","0.0","0.0","0.0","21.0","0.0","191.0","227.0","418.0","2370.0","861.0","0.0","0.0","0.0","0.0","41.0","5.0","46.0","1.0","586.0","105.0","1.0","300.0","24.0","0.0","0.0","0.0"
"U-0480","Tamil Nadu Dr. Ambedkar Law ","Tamil Nadu","Chennai","""Poompozhil"",, NO: 5, DR. D.G.S. ","www.tndalu.ac.in","5.0","1997.0","Urban","State Public University ","Law","No","1.0","13.0","0.0","0.0","0.0","0.0","1.0","0.0","26.0","26.0","52.0","1493.0","2024.0","0.0","0.0","0.0","0.0","0","0","0.0","1.0","150.0","150.0","2.0","655.0","653.0","0.0","0.0","0.0"
"U-0481","Tamil Nadu Dr. M.G.R. Medical ","Tamil Nadu","Chennai","No.69, ANNA SALAI, GUINDY, ","www.tnmgrmu.ac.in","9.9","1987.0","Urban","State Public University ","Medical","No","1.0","477.0","1.0","0.0","0.0","0.0","7.0","0.0","14.0","26.0","40.0","16.0","32.0","0.0","0.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"U-0482","Tamil Nadu Open University, ","Tamil Nadu","Chennai","No.577, Annasalai, Saidapet","www.tnou.ac.in","3.68","2002.0","Urban","State Open University ","No","No","13.0","0.0","0.0","0.0","0.0","8.0","21.0","536.0","59.0","24.0","83.0","0.0","0.0","18596.0","24578.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"U-0483","Tamil Nadu Teacher Education ","Tamil Nadu","Chennai","GANGAIAMMAN KOIL STREET, ","www.tnteu.in","10.0","2008.0","Urban","State Public University ","No","No","1.0","628.0","1.0","0.0","0.0","0.0","6.0","0.0","33.0","18.0","51.0","34.0","52.0","0.0","0.0","0.0","0.0","0","0","0.0","1.0","50.0","30.0","0.0","0.0","0.0","0.0","0.0","0.0"
"U-0484","Tamil Univesity, Thanjavur","Tamil Nadu","Thanjavur","Trichy Road, Thanjavur 613 010, ","www.tamiluniversity.ac.in","824.93","1981.0","Rural","State Public University ","Language","No","5.0","0.0","0.0","0.0","0.0","1.0","26.0","1.0","112.0","41.0","153.0","91.0","285.0","10208.0","9493.0","0.0","0.0","25.0","11.0","36.0","2.0","112.0","112.0","2.0","152.0","152.0","0.0","0.0","0.0"
"U-0485","Tamilnadu Agricultural University, ","Tamil Nadu","Coimbatore","Lawley Road, Coimbatore","www.tnau.ac.in","678.49","1905.0","Urban","State Public University ","Agriculture","No","4.0","27.0","15.0","0.0","1.0","1.0","31.0","1.0","1290.0","809.0","2099.0","2544.0","4161.0","549.0","170.0","6.0","2.0","962.0","3324.0","4286.0","6.0","884.0","756.0","5.0","1562.0","1387.0","1.0","48.0","9.0"
"U-0486","Tamilnadu Physical Education and ","Tamil Nadu","Kanchipuram","Melakottaiyur Post, Vandalur, ","wwww.tnpesu.org","125.0","2004.0","Urban","State Public University ","Sports/Yoga/Physical Education","No","3.0","21.0","0.0","0.0","0.0","0.0","5.0","0.0","36.0","12.0","48.0","443.0","192.0","546.0","122.0","0.0","0.0","3.0","5.0","8.0","1.0","300.0","200.0","1.0","120.0","120.0","0.0","0.0","0.0"
"U-0487","Tamilnadu Veterinary & Animal ","Tamil Nadu","Thiruvallur","Madhavaram Milk Colony, Chennai-600 ","www.tanuvas.ac.in","319.2","1903.0","Urban","State Public University ","Veterinary","No","8.0","0.0","7.0","0.0","0.0","0.0","62.0","0.0","314.0","107.0","421.0","0.0","0.0","43.0","18.0","0.0","0.0","5.0","1.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"U-0488","Thiruvalluvar Univeristy, Vellore","Tamil Nadu","Vellore","SERKKADU, VELLORE-632 115, VELLORE","www.tvu.edu.in","120.0","2002.0","Rural","State Public University ","No","No","0.0","109.0","6.0","0.0","1.0","0.0","7.0","0.0","76.0","8.0","84.0","104.0","229.0","0.0","0.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"U-0489","Vel Tech Rangarajan Dr. Sagunthala ","Tamil Nadu","Thiruvallur","No. 42, Avadi - Veltech Raod, Avadi, ","www.veltech.edu.in","66.75","1997.0","Rural","Deemed University-Private ","No","No","7.0","0.0","0.0","0.0","0.0","0.0","17.0","0.0","698.0","308.0","1006.0","7710.0","1529.0","0.0","0.0","80.0","1.0","100.0","12.0","112.0","4.0","6100.0","5662.0","1.0","1400.0","1080.0","0.0","0.0","0.0"
"U-0490","Vellore Institute of Technology, ","Tamil Nadu","Vellore","Katpadi-Thiruvalam Road, Vellore","www.vit.ac.in","371.52","1984.0","Urban","Deemed University-Private ","No","No","15.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2006.0","901.0","2907.0","22773.0","7996.0","0.0","0.0","500.0","142.0","0","0","180.0","18.0","17070.0","15834.0","7.0","5181.0","5095.0","0.0","0.0","0.0"
"U-0491","Vels Institute of Science, Technology ","Tamil Nadu","Kanchipuram","Velan Nagar  P.V.Vaithiyalingam ","www.velsuniv.ac.in","29.13","1992.0","Urban","Deemed University-Private ","No","No","16.0","0.0","0.0","0.0","0.0","0.0","40.0","0.0","616.0","691.0","1307.0","9452.0","4294.0","0.0","0.0","18.0","14.0","62.0","12.0","74.0","6.0","1592.0","1417.0","3.0","387.0","307.0","0.0","0.0","0.0"
"U-0492","VINAYAKA MISSIONs RESEARCH ","Tamil Nadu","Salem","Sankari Main Road (NH-47), Ariyanoor, ","www.vinayakamission.com","271.04","1982.0","Rural","Deemed University-Private ","No","No","13.0","0.0","13.0","0.0","0.0","0.0","7.0","0.0","263.0","171.0","434.0","3072.0","2093.0","0.0","0.0","6.0","3.0","75.0","50.0","125.0","6.0","1426.0","615.0","9.0","1420.0","1275.0","1.0","250.0","227.0"
"U-0665","TAMIL NADU FISHERIES UNIVERSITY","Tamil Nadu","Nagapattinam","Vettar River View Campus, Panangudi, ","www.tnjfu.ac.in","35.0","2012.0","Rural","State Public University ","Fisheries","No","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","17.0","0.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"U-0680","TAMIL NADU NATIONAL LAW ","Tamil Nadu","Tiruchirappalli","NAVALURKUTTAPATTU, SRIRANGAM ","www.tnnlu.ac.in","25.0","2012.0","Rural","State Public University ","Law","No","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","4.0","10.0","234.0","270.0","0.0","0.0","0.0","0.0","40.0","20.0","60.0","1.0","400.0","234.0","1.0","400.0","270.0","0.0","0.0","0.0"
"U-0754","INDIAN INSTITUTE OF INFORMATION ","Tamil Nadu","Tiruchirappalli","NIT  TIRUCHIRAPPALLI Campus, ","www.iiitt.ac.in","56.0","2013.0","Urban","Institute of National Importanc","Technical","No","1.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","17.0","14.0","31.0","168.0","16.0","0.0","0.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"U-0983","THE TAMILNADU DR. J ","Tamil Nadu","Chennai","Dr.DGS Dinakaran Salai, RA ","tnmfau.ac.in","10.0","2013.0","Urban","State Public University ","Music and Fine Arts","No","3.0","6.0","0.0","0.0","0.0","0.0","8.0","0.0","17.0","10.0","27.0","74.0","37.0","0.0","0.0","1.0","2.0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"U-1000","INDIAN INSTITUTE OF MANAGEMENT ","Tamil Nadu","Tiruchirappalli","Pudukkottai Main Road,, Tiruchirappalli, ","www.iimtrichy.ac.in","173.87","2011.0","Urban","Institute of National Importanc","National Importance ","No","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","52.0","7.0","59.0","245.0","189.0","0.0","0.0","1.0","0.0","41.0","44.0","85.0","4.0","280.0","270.0","2.0","140.0","140.0","0.0","0.0","0.0"
"Generated On: 13/08/2022 09:43:49 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
